WLASL Glosses Ranked by Video Count
Total glosses: 2000
Total videos: 21083

Rank     Gloss                                    Videos       Percentage     
1908     rescue                                   7              0.03%
1909     resist                                   7              0.03%
1910     restroom                                 7              0.03%
1911     retreat                                  7              0.03%
1912     roar                                     7              0.03%
1913     robber                                   7              0.03%
1914     roommate                                 7              0.03%
1915     rose                                     7              0.03%
1916     ruin                                     7              0.03%
1917     s                                        7              0.03%
1918     salary                                   7              0.03%
1919     saw                                      7              0.03%
1920     scan                                     7              0.03%
1921     scream                                   7              0.03%
1922     sculpture                                7              0.03%
1923     sea                                      7              0.03%
1924     seldom                                   7              0.03%
1925     sequence                                 7              0.03%
1926     settle                                   7              0.03%
1927     shout                                    7              0.03%
1928     shovel                                   7              0.03%
1929     sin                                      7              0.03%
1930     singer                                   7              0.03%
1931     sixteen                                  7              0.03%
1932     ski                                      7              0.03%
1933     skip                                     7              0.03%
1934     smoking                                  7              0.03%
1935     sofa                                     7              0.03%
1936     soldier                                  7              0.03%
1937     solve                                    7              0.03%
1938     someday                                  7              0.03%
1939     something                                7              0.03%
1940     somewhere                                7              0.03%
1941     soul                                     7              0.03%
1942     spill                                    7              0.03%
1943     spit                                     7              0.03%
1944     spread                                   7              0.03%
1945     sprint                                   7              0.03%
1946     squeeze                                  7              0.03%
1947     stadium                                  7              0.03%
1948     stepfather                               7              0.03%
1949     sting                                    7              0.03%
1950     stir                                     7              0.03%
1951     stitch                                   7              0.03%
1952     stuck                                    7              0.03%
1953     sue                                      7              0.03%
1954     sunshine                                 7              0.03%
1955     superman                                 7              0.03%
1956     surrender                                7              0.03%
1957     suspend                                  7              0.03%
1958     swimming                                 7              0.03%
1959     t                                        7              0.03%
1960     talent                                   7              0.03%
1961     telescope                                7              0.03%
1962     tempt                                    7              0.03%
1963     ten                                      7              0.03%
1964     tend                                     7              0.03%
1965     testify                                  7              0.03%
1966     texas                                    7              0.03%
1967     text                                     7              0.03%
1968     than                                     7              0.03%
1969     therefore                                7              0.03%
1970     thrill                                   7              0.03%
1971     tobacco                                  7              0.03%
1972     toilet paper                             7              0.03%
1973     tolerate                                 7              0.03%
1974     torture                                  7              0.03%
1975     towel                                    7              0.03%
1976     trip                                     7              0.03%
1977     truth                                    7              0.03%
1978     turn                                     7              0.03%
1979     tv                                       7              0.03%
1980     u                                        7              0.03%
1981     unique                                   7              0.03%
1982     upstairs                                 7              0.03%
1983     v                                        7              0.03%
1984     vacant                                   7              0.03%
1985     vague                                    7              0.03%
1986     valley                                   7              0.03%
1987     vampire                                  7              0.03%
1988     very                                     7              0.03%
1989     vice president                           7              0.03%
1990     viewpoint                                7              0.03%
1991     visualize                                7              0.03%
1992     vlog                                     7              0.03%
1993     volleyball                               7              0.03%
1994     w                                        7              0.03%
1995     washington                               7              0.03%
1996     waterfall                                7              0.03%
1997     weigh                                    7              0.03%
1998     wheelchair                               7              0.03%
1999     whistle                                  7              0.03%
2000     caterpillar                              6              0.03%
