WLASL Split-Gloss Summary


============================================================
TEST
============================================================
Total videos: 2878
Unique glosses: 1999

Gloss                                    Videos      
put                                      7           
queen                                    7           
quit                                     7           
radio                                    7           
rat                                      7           
reject                                   7           
require                                  7           
rest                                     7           
retire                                   7           
rise                                     7           
river                                    7           
rough                                    7           
see                                      7           
seem                                     7           
send                                     7           
sew                                      7           
sheep                                    7           
shine                                    7           
shock                                    7           
should                                   7           
silent                                   7           
skinny                                   7           
skirt                                    7           
sky                                      7           
sour                                     7           
special                                  7           
spirit                                   7           
staff                                    7           
stand                                    7           
steal                                    7           
stop                                     7           
stupid                                   7           
summon                                   7           
sunrise                                  7           
swallow                                  7           
television                               7           
to                                       7           
together                                 7           
translate                                7           
triangle                                 7           
turtle                                   7           
underwear                                7           
up                                       7           
upset                                    7           
violin                                   7           
volunteer                                7           
warm                                     7           
warn                                     7           
wash                                     7           
wine                                     7           
witness                                  7           
wood                                     7           
zero                                     7           
across                                   7           
actor                                    7           
agree                                    7           
alarm                                    7           
allergy                                  7           
almost                                   7           
announce                                 7           
apartment                                7           
attention                                7           
audience                                 7           
august                                   7           
autumn                                   7           
away                                     7           
beautiful                                7           
become                                   7           
below                                    7           
best                                     7           
bet                                      7           
bicycle                                  7           
biology                                  7           
boyfriend                                7           
break                                    7           
bridge                                   7           
brush                                    7           
building                                 7           
busy                                     7           
camera                                   7           
camp                                     7           
caption                                  7           
care                                     7           
carry                                    7           
celebrate                                7           
certificate                              7           
chain                                    7           
chance                                   7           
character                                7           
chase                                    7           
classroom                                7           
clear                                    7           
climb                                    7           
command                                  7           
community                                7           
complain                                 7           
compromise                               7           
contribute                               7           
cop                                      7           
couch                                    7           
cracker                                  7           
curious                                  7           
curriculum                               7           
dad                                      7           
deny                                     7           
describe                                 7           
diaper                                   7           
disagree                                 7           
dissolve                                 7           
divide                                   7           
dolphin                                  7           
double                                   7           
doubt                                    7           
dumb                                     7           
earth                                    7           
earthquake                               7           
eight                                    7           
embarrass                                7           
emotion                                  7           
encourage                                7           
energy                                   7           
enough                                   7           
evaluate                                 7           
evidence                                 7           
exact                                    7           
exaggerate                               7           
expect                                   7           
fancy                                    7           
favorite                                 7           
finally                                  7           
fox                                      7           
french                                   7           
fruit                                    7           
function                                 7           
germany                                  7           
gloves                                   7           
goat                                     7           
goodbye                                  7           
grow                                     7           
gum                                      7           
half                                     7           
highway                                  7           
homework                                 7           
honor                                    7           
ice cream                                7           
if                                       7           
increase                                 7           
india                                    7           
information                              7           
interpret                                7           
interview                                7           
invite                                   7           
israel                                   7           
jesus                                    7           
keep                                     7           
keyboard                                 7           
land                                     7           
lawyer                                   7           
lead                                     7           
lesbian                                  7           
line                                     7           
lock                                     7           
loud                                     7           
lousy                                    7           
lunch                                    7           
machine                                  7           
mad                                      7           
memorize                                 7           
minus                                    7           
monday                                   7           
mountain                                 7           
mouth                                    7           
mushroom                                 7           
napkin                                   7           
neck                                     7           
next                                     7           
open                                     7           
overwhelm                                7           
owe                                      7           
page                                     7           
pain                                     7           
parade                                   7           
parents                                  7           
perfect                                  7           
period                                   7           
philosophy                               7           
photographer                             7           
place                                    7           
policy                                   7           
popular                                  7           
pray                                     7           
predict                                  7           
presentation                             7           
print                                    7           
printer                                  7           
private                                  7           
procrastinate                            7           
project                                  7           
protect                                  7           
prove                                    7           
provide                                  7           
psychology                               7           
punish                                   7           
puzzled                                  7           
question                                 7           
quick                                    7           
rainbow                                  7           
rake                                     7           
rehearse                                 7           
remove                                   7           
revenge                                  7           
review                                   7           
rich                                     7           
roof                                     7           
rooster                                  7           
rude                                     7           
say                                      7           
scientist                                7           
scotland                                 7           
screwdriver                              7           
second                                   7           
senate                                   7           
separate                                 7           
service                                  7           
shrimp                                   7           
shy                                      7           
side                                     7           
situation                                7           
slave                                    7           
soccer                                   7           
socks                                    7           
solid                                    7           
sometimes                                7           
spider                                   7           
square                                   7           
stairs                                   7           
stare                                    7           
start                                    7           
store                                    7           
straw                                    7           
structure                                7           
suggest                                  7           
sun                                      7           
support                                  7           
suppose                                  7           
sure                                     7           
surprise                                 7           
sweater                                  7           
swim                                     7           
symbol                                   7           
taste                                    7           
team                                     7           
telephone                                7           
tennis                                   7           
their                                    7           
then                                     7           
third                                    7           
thousand                                 7           
three                                    7           
tie                                      7           
topic                                    7           
touch                                    7           
tournament                               7           
try                                      7           
two                                      7           
umbrella                                 7           
vegetable                                7           
vocabulary                               7           
waste                                    7           
we                                       7           
weekly                                   7           
welcome                                  7           
winter                                   7           
without                                  7           
wolf                                     7           
worm                                     7           
wristwatch                               7           
yourself                                 7           
cost                                     6           
diarrhea                                 6           
gather                                   6           
hawaii                                   6           
herself                                  6           
ocean                                    6           
spin                                     6           
thermometer                              6           
thing                                    6           
type                                     6           
wear                                     6           
above                                    6           
accomplish                               6           
adopt                                    6           
advantage                                6           
alphabet                                 6           
anniversary                              6           
another                                  6           
appropriate                              6           
arrogant                                 6           
artist                                   6           
background                               6           
bee                                      6           
behavior                                 6           
bell                                     6           
birth                                    6           
bless                                    6           
blood                                    6           
boots                                    6           
brave                                    6           
breathe                                  6           
bright                                   6           
bull                                     6           
butterfly                                6           
card                                     6           
category                                 6           
catholic                                 6           
cent                                     6           
chemistry                                6           
cherry                                   6           
china                                    6           
chop                                     6           
christian                                6           
cigarette                                6           
clever                                   6           
clown                                    6           
coach                                    6           
coat                                     6           
cochlear implant                         6           
coconut                                  6           
common                                   6           
commute                                  6           
control                                  6           
count                                    6           
culture                                  6           
daily                                    6           
defend                                   6           
degree                                   6           
demonstrate                              6           
department                               6           
die                                      6           
dig                                      6           
dinner                                   6           
dinosaur                                 6           
diploma                                  6           
director                                 6           
disconnect                               6           
discover                                 6           
don't want                               6           
drum                                     6           
each                                     6           
educate                                  6           
electrician                              6           
empty                                    6           
england                                  6           
establish                                6           
excuse                                   6           
eyeglasses                               6           
faculty                                  6           
fall in love                             6           
famous                                   6           
farm                                     6           
fence                                    6           
fix                                      6           
flexible                                 6           
flirt                                    6           
flood                                    6           
fork                                     6           
four                                     6           
fun                                      6           
funeral                                  6           
furniture                                6           
gallaudet                                6           
general                                  6           
ghost                                    6           
give up                                  6           
glass                                    6           
gorilla                                  6           
gray                                     6           
guide                                    6           
habit                                    6           
health                                   6           
hearing aid                              6           
heaven                                   6           
heavy                                    6           
helmet                                   6           
hide                                     6           
high school                              6           
hockey                                   6           
hold                                     6           
honest                                   6           
hug                                      6           
hunt                                     6           
image                                    6           
influence                                6           
interesting                              6           
interpreter                              6           
iran                                     6           
italy                                    6           
jewish                                   6           
judge                                    6           
key                                      6           
label                                    6           
leaf                                     6           
left                                     6           
lend                                     6           
less                                     6           
linguistics                              6           
lonely                                   6           
long                                     6           
magic                                    6           
mainstream                               6           
major                                    6           
manager                                  6           
maximum                                  6           
me                                       6           
mexico                                   6           
middle                                   6           
mind                                     6           
misunderstand                            6           
monster                                  6           
multiply                                 6           
myself                                   6           
nothing                                  6           
october                                  6           
odd                                      6           
offer                                    6           
on                                       6           
only                                     6           
opposite                                 6           
out                                      6           
overlook                                 6           
path                                     6           
percent                                  6           
physics                                  6           
piano                                    6           
pick                                     6           
pie                                      6           
plate                                    6           
pocket                                   6           
popcorn                                  6           
positive                                 6           
pregnant                                 6           
prevent                                  6           
proof                                    6           
pumpkin                                  6           
purpose                                  6           
race                                     6           
realize                                  6           
recognize                                6           
refuse                                   6           
relationship                             6           
repeat                                   6           
replace                                  6           
report                                   6           
represent                                6           
request                                  6           
result                                   6           
reveal                                   6           
ring                                     6           
rob                                      6           
rock                                     6           
role                                     6           
rope                                     6           
rush                                     6           
salute                                   6           
satisfy                                  6           
search                                   6           
selfish                                  6           
sensitive                                6           
serve                                    6           
seven                                    6           
shampoo                                  6           
she                                      6           
shelf                                    6           
shopping                                 6           
sign language                            6           
similar                                  6           
sing                                     6           
six                                      6           
skeleton                                 6           
sketch                                   6           
skill                                    6           
sleepy                                   6           
slip                                     6           
smell                                    6           
sneeze                                   6           
snob                                     6           
specific                                 6           
stamp                                    6           
steel                                    6           
strawberry                               6           
subtract                                 6           
subway                                   6           
suffer                                   6           
surface                                  6           
sweep                                    6           
swing                                    6           
switzerland                              6           
tale                                     6           
tan                                      6           
teeth                                    6           
terrible                                 6           
thankful                                 6           
they                                     6           
through                                  6           
tiptoe                                   6           
title                                    6           
tooth                                    6           
toothbrush                               6           
total                                    6           
tough                                    6           
tradition                                6           
trophy                                   6           
trouble                                  6           
true                                     6           
trust                                    6           
under                                    6           
verb                                     6           
wall                                     6           
watermelon                               6           
way                                      6           
weird                                    6           
while                                    6           
wide                                     6           
willing                                  6           
wish                                     6           
wonderful                                6           
workshop                                 6           
worse                                    6           
wrench                                   6           
responsibility                           5           
a                                        5           
a lot                                    5           
abdomen                                  5           
able                                     5           
accountant                               5           
action                                   5           
active                                   5           
activity                                 5           
address                                  5           
affect                                   5           
afraid                                   5           
against                                  5           
agenda                                   5           
ahead                                    5           
aim                                      5           
alcohol                                  5           
algebra                                  5           
all day                                  5           
amazing                                  5           
angle                                    5           
apart                                    5           
apostrophe                               5           
appetite                                 5           
appreciate                               5           
april                                    5           
archery                                  5           
around                                   5           
article                                  5           
assistant                                5           
attend                                   5           
auction                                  5           
authority                                5           
average                                  5           
awake                                    5           
b                                        5           
babysitter                               5           
battle                                   5           
beginning                                5           
belief                                   5           
bible                                    5           
bike                                     5           
blend                                    5           
bone                                     5           
bra                                      5           
brief                                    5           
broke                                    5           
bug                                      5           
bully                                    5           
button                                   5           
cabbage                                  5           
cabinet                                  5           
calculate                                5           
calculator                               5           
calculus                                 5           
camping                                  5           
canoe                                    5           
careless                                 5           
ceiling                                  5           
cemetery                                 5           
chapter                                  5           
choir                                    5           
circle                                   5           
come                                     5           
come here                                5           
company                                  5           
complete                                 5           
concept                                  5           
concern                                  5           
confront                                 5           
confused                                 5           
congress                                 5           
connect                                  5           
conquer                                  5           
constitution                             5           
contract                                 5           
court                                    5           
crab                                     5           
cross                                    5           
cruel                                    5           
crush                                    5           
date                                     5           
december                                 5           
decrease                                 5           
deduct                                   5           
defeat                                   5           
deposit                                  5           
depressed                                5           
detach                                   5           
determine                                5           
diabetes                                 5           
dime                                     5           
dirt                                     5           
disgust                                  5           
dismiss                                  5           
dizzy                                    5           
document                                 5           
dorm                                     5           
dormitory                                5           
downstairs                               5           
economy                                  5           
education                                5           
effort                                   5           
eighteen                                 5           
engage                                   5           
engagement                               5           
engineer                                 5           
envelope                                 5           
erase                                    5           
eternity                                 5           
evening                                  5           
everyday                                 5           
expand                                   5           
eye                                      5           
eyes                                     5           
fake                                     5           
farmer                                   5           
february                                 5           
federal                                  5           
final                                    5           
florida                                  5           
flute                                    5           
forbid                                   5           
forever                                  5           
fourth                                   5           
free                                     5           
french fries                             5           
gamble                                   5           
gas                                      5           
gasoline                                 5           
generation                               5           
geography                                5           
german                                   5           
girlfriend                               5           
gold                                     5           
grandma                                  5           
grass                                    5           
grow up                                  5           
gun                                      5           
haircut                                  5           
hard of hearing                          5           
hippopotamus                             5           
his                                      5           
honey                                    5           
hurricane                                5           
identify                                 5           
include                                  5           
infection                                5           
innocent                                 5           
insect                                   5           
instead                                  5           
institute                                5           
international                            5           
interrupt                                5           
involve                                  5           
jail                                     5           
january                                  5           
joke                                     5           
june                                     5           
kangaroo                                 5           
karate                                   5           
kick                                     5           
kneel                                    5           
knock                                    5           
laptop                                   5           
lift                                     5           
lightning                                5           
lip                                      5           
lipstick                                 5           
local                                    5           
manage                                   5           
mature                                   5           
member                                   5           
message                                  5           
metal                                    5           
microphone                               5           
mix                                      5           
monthly                                  5           
motor                                    5           
nation                                   5           
network                                  5           
nickel                                   5           
nineteen                                 5           
normal                                   5           
november                                 5           
nut                                      5           
octopus                                  5           
once                                     5           
organize                                 5           
over                                     5           
owl                                      5           
p                                        5           
parachute                                5           
paragraph                                5           
parallel                                 5           
pay attention                            5           
peace                                    5           
peanut butter                            5           
perfume                                  5           
personality                              5           
pet                                      5           
philadelphia                             5           
physician                                5           
piece                                    5           
pity                                     5           
plant                                    5           
plenty                                   5           
pneumonia                                5           
politics                                 5           
position                                 5           
pound                                    5           
pour                                     5           
praise                                   5           
preach                                   5           
preacher                                 5           
prefer                                   5           
pressure                                 5           
principal                                5           
priority                                 5           
professional                             5           
professor                                5           
promote                                  5           
prostitute                               5           
proud                                    5           
quote                                    5           
receive                                  5           
recent                                   5           
reduce                                   5           
refer                                    5           
referee                                  5           
relate                                   5           
relax                                    5           
remote control                           5           
rent                                     5           
reputation                               5           
resign                                   5           
responsible                              5           
ridiculous                               5           
road                                     5           
robot                                    5           
rubber                                   5           
safe                                     5           
sauce                                    5           
sausage                                  5           
scold                                    5           
senior                                   5           
september                                5           
several                                  5           
shame                                    5           
shave                                    5           
shoot                                    5           
shoulder                                 5           
silver                                   5           
simple                                   5           
siren                                    5           
size                                     5           
skate                                    5           
skin                                     5           
skunk                                    5           
slice                                    5           
smooth                                   5           
snack                                    5           
snowman                                  5           
society                                  5           
someone                                  5           
song                                     5           
sore throat                              5           
south america                            5           
spanish                                  5           
speak                                    5           
speed                                    5           
spell                                    5           
spoon                                    5           
spring                                   5           
standard                                 5           
statistics                               5           
sticky                                   5           
still                                    5           
stretch                                  5           
surgeon                                  5           
sweden                                   5           
swimsuit                                 5           
sympathy                                 5           
take turns                               5           
take up                                  5           
technology                               5           
temple                                   5           
tender                                   5           
thailand                                 5           
theater                                  5           
them                                     5           
theme                                    5           
thick                                    5           
this                                     5           
throat                                   5           
tissue                                   5           
tongue                                   5           
tonight                                  5           
tornado                                  5           
tower                                    5           
tranquil                                 5           
transform                                5           
tutor                                    5           
twin                                     5           
value                                    5           
